REFERENCE_PERIOD,NAICS,STATUS,CALCULATED_VALUE
2003-03-01,Railroad rolling stock manufacturing,,333000000.0
2003-03-01,Ship and boat building,,159000000.0
2003-03-01,Other transportation equipment manufacturing,,225000000.0
2003-03-01,Furniture and related product manufacturing,,1316000000.0
2003-03-01,Miscellaneous manufacturing,,969000000.0
2003-04-01,"Total, durable and non-durable goods",,57356000000.0
2003-04-01,Non-durable goods,,26978000000.0
2003-04-01,Food manufacturing,,7024000000.0
2003-04-01,Beverage and tobacco product manufacturing,,1410000000.0
2003-04-01,Textile mills,,343000000.0
2003-04-01,Textile product mills,,278000000.0
2003-04-01,Apparel manufacturing,,692000000.0
2003-04-01,Leather and allied product manufacturing,,71000000.0
2003-04-01,Paper manufacturing,,3207000000.0
2003-04-01,Printing and related support activities,,1082000000.0
2003-04-01,Petroleum and coal products manufacturing,,5368000000.0
2003-04-01,Chemical manufacturing,,4779000000.0
2003-04-01,Plastics and rubber products manufacturing,,2725000000.0
2003-04-01,Durable goods,,30378000000.0
2003-04-01,Wood product manufacturing,,2979000000.0
2003-04-01,Non-metallic mineral product manufacturing,,1207000000.0
2003-04-01,Primary metal manufacturing,,4867000000.0
2003-04-01,Fabricated metal product manufacturing,,3556000000.0
2003-04-01,Machinery manufacturing,,2598000000.0
2003-04-01,Computer and electronic product manufacturing,,1504000000.0
2003-04-01,"Electrical equipment, appliance and component manufacturing",,986000000.0
2003-04-01,Transportation equipment manufacturing,,10355000000.0
2003-04-01,Motor vehicle manufacturing,,5241000000.0
2003-04-01,Motor vehicle body and trailer manufacturing,,330000000.0
2003-04-01,Motor vehicle parts manufacturing,,2634000000.0
2003-04-01,Aerospace product and parts manufacturing,,1474000000.0
2003-04-01,Railroad rolling stock manufacturing,,280000000.0
2003-04-01,Ship and boat building,,159000000.0
2003-04-01,Other transportation equipment manufacturing,,237000000.0
2003-04-01,Furniture and related product manufacturing,,1337000000.0
2003-04-01,Miscellaneous manufacturing,,988000000.0
2003-05-01,"Total, durable and non-durable goods",,58322000000.0
2003-05-01,Non-durable goods,,27298000000.0
2003-05-01,Food manufacturing,,6817000000.0
2003-05-01,Beverage and tobacco product manufacturing,,1384000000.0
2003-05-01,Textile mills,,341000000.0
2003-05-01,Textile product mills,,295000000.0
2003-05-01,Apparel manufacturing,,688000000.0
2003-05-01,Leather and allied product manufacturing,,75000000.0
2003-05-01,Paper manufacturing,,3123000000.0
2003-05-01,Printing and related support activities,,1114000000.0
2003-05-01,Petroleum and coal products manufacturing,,5755000000.0
2003-05-01,Chemical manufacturing,,4975000000.0
2003-05-01,Plastics and rubber products manufacturing,,2728000000.0
2003-05-01,Durable goods,,31024000000.0
2003-05-01,Wood product manufacturing,,2999000000.0
2003-05-01,Non-metallic mineral product manufacturing,,1232000000.0
2003-05-01,Primary metal manufacturing,,4880000000.0
2003-05-01,Fabricated metal product manufacturing,,3543000000.0
