REFERENCE_PERIOD,NAICS,STATUS,SYMBOL,TERMINATED,DECIMALS,CALCULATED_VALUE
2002-12-01,Textile product mills,,,,0,286000000.0
2002-12-01,Apparel manufacturing,,,,0,690000000.0
2002-12-01,Leather and allied product manufacturing,,,,0,97000000.0
2002-12-01,Paper manufacturing,,,,0,3219000000.0
2002-12-01,Printing and related support activities,,,,0,1122000000.0
2002-12-01,Petroleum and coal products manufacturing,,,,0,5708000000.0
2002-12-01,Chemical manufacturing,,,,0,5162000000.0
2002-12-01,Plastics and rubber products manufacturing,,,,0,2717000000.0
2002-12-01,Durable goods,,,,0,29143000000.0
2002-12-01,Wood product manufacturing,,,,0,3137000000.0
2002-12-01,Non-metallic mineral product manufacturing,,,,0,1255000000.0
2002-12-01,Primary metal manufacturing,,,,0,4789000000.0
2002-12-01,Fabricated metal product manufacturing,,,,0,3382000000.0
2002-12-01,Machinery manufacturing,,,,0,2588000000.0
2002-12-01,Computer and electronic product manufacturing,,,,0,1670000000.0
2002-12-01,"Electrical equipment, appliance and component manufacturing",,,,0,1007000000.0
2002-12-01,Transportation equipment manufacturing,,,,0,8836000000.0
2002-12-01,Motor vehicle manufacturing,,,,0,4301000000.0
2002-12-01,Motor vehicle body and trailer manufacturing,,,,0,338000000.0
2002-12-01,Motor vehicle parts manufacturing,,,,0,2380000000.0
2002-12-01,Aerospace product and parts manufacturing,,,,0,1135000000.0
2002-12-01,Railroad rolling stock manufacturing,,,,0,344000000.0
2002-12-01,Ship and boat building,,,,0,176000000.0
2002-12-01,Other transportation equipment manufacturing,,,,0,161000000.0
2002-12-01,Furniture and related product manufacturing,,,,0,1381000000.0
2002-12-01,Miscellaneous manufacturing,,,,0,1101000000.0
2003-01-01,"Total, durable and non-durable goods",,,,0,57069000000.0
2003-01-01,Non-durable goods,,,,0,27754000000.0
2003-01-01,Food manufacturing,,,,0,6778000000.0
2003-01-01,Beverage and tobacco product manufacturing,,,,0,1507000000.0
2003-01-01,Textile mills,,,,0,325000000.0
2003-01-01,Textile product mills,,,,0,263000000.0
2003-01-01,Apparel manufacturing,,,,0,658000000.0
2003-01-01,Leather and allied product manufacturing,,,,0,81000000.0
2003-01-01,Paper manufacturing,,,,0,3289000000.0
2003-01-01,Printing and related support activities,,,,0,1064000000.0
2003-01-01,Petroleum and coal products manufacturing,,,,0,5778000000.0
2003-01-01,Chemical manufacturing,,,,0,5118000000.0
2003-01-01,Plastics and rubber products manufacturing,,,,0,2894000000.0
2003-01-01,Durable goods,,,,0,29315000000.0
2003-01-01,Wood product manufacturing,,,,0,2950000000.0
2003-01-01,Non-metallic mineral product manufacturing,,,,0,1222000000.0
2003-01-01,Primary metal manufacturing,,,,0,4887000000.0
2003-01-01,Fabricated metal product manufacturing,,,,0,3436000000.0
2003-01-01,Machinery manufacturing,,,,0,2458000000.0
2003-01-01,Computer and electronic product manufacturing,,,,0,1519000000.0
2003-01-01,"Electrical equipment, appliance and component manufacturing",,,,0,1024000000.0
2003-01-01,Transportation equipment manufacturing,,,,0,9615000000.0
2003-01-01,Motor vehicle manufacturing,,,,0,4997000000.0
2003-01-01,Motor vehicle body and trailer manufacturing,,,,0,309000000.0
2003-01-01,Motor vehicle parts manufacturing,,,,0,2678000000.0
2003-01-01,Aerospace product and parts manufacturing,,,,0,826000000.0
2003-01-01,Railroad rolling stock manufacturing,,,,0,515000000.0
2003-01-01,Ship and boat building,,,,0,156000000.0
2003-01-01,Other transportation equipment manufacturing,,,,0,134000000.0
2003-01-01,Furniture and related product manufacturing,,,,0,1294000000.0
2003-01-01,Miscellaneous manufacturing,,,,0,910000000.0
2003-02-01,"Total, durable and non-durable goods",,,,0,57245000000.0
2003-02-01,Non-durable goods,,,,0,27606000000.0
2003-02-01,Food manufacturing,,,,0,6945000000.0
2003-02-01,Beverage and tobacco product manufacturing,,,,0,1493000000.0
2003-02-01,Textile mills,,,,0,328000000.0
2003-02-01,Textile product mills,,,,0,286000000.0
2003-02-01,Apparel manufacturing,,,,0,655000000.0
2003-02-01,Leather and allied product manufacturing,,,,0,73000000.0
2003-02-01,Paper manufacturing,,,,0,3224000000.0
2003-02-01,Printing and related support activities,,,,0,1068000000.0
2003-02-01,Petroleum and coal products manufacturing,,,,0,5752000000.0
2003-02-01,Chemical manufacturing,,,,0,4980000000.0
2003-02-01,Plastics and rubber products manufacturing,,,,0,2803000000.0
2003-02-01,Durable goods,,,,0,29639000000.0
2003-02-01,Wood product manufacturing,,,,0,2960000000.0
2003-02-01,Non-metallic mineral product manufacturing,,,,0,1197000000.0
2003-02-01,Primary metal manufacturing,,,,0,4840000000.0
2003-02-01,Fabricated metal product manufacturing,,,,0,3419000000.0
2003-02-01,Machinery manufacturing,,,,0,2563000000.0
2003-02-01,Computer and electronic product manufacturing,,,,0,1513000000.0
2003-02-01,"Electrical equipment, appliance and component manufacturing",,,,0,988000000.0
2003-02-01,Transportation equipment manufacturing,,,,0,9870000000.0
2003-02-01,Motor vehicle manufacturing,,,,0,4943000000.0
2003-02-01,Motor vehicle body and trailer manufacturing,,,,0,325000000.0
2003-02-01,Motor vehicle parts manufacturing,,,,0,2717000000.0
2003-02-01,Aerospace product and parts manufacturing,,,,0,1256000000.0
2003-02-01,Railroad rolling stock manufacturing,,,,0,350000000.0
2003-02-01,Ship and boat building,,,,0,156000000.0
2003-02-01,Other transportation equipment manufacturing,,,,0,124000000.0
2003-02-01,Furniture and related product manufacturing,,,,0,1311000000.0
2003-02-01,Miscellaneous manufacturing,,,,0,979000000.0
2003-03-01,"Total, durable and non-durable goods",,,,0,57278000000.0
2003-03-01,Non-durable goods,,,,0,27331000000.0
2003-03-01,Food manufacturing,,,,0,6941000000.0
2003-03-01,Beverage and tobacco product manufacturing,,,,0,1476000000.0
2003-03-01,Textile mills,,,,0,344000000.0
2003-03-01,Textile product mills,,,,0,273000000.0
2003-03-01,Apparel manufacturing,,,,0,659000000.0
2003-03-01,Leather and allied product manufacturing,,,,0,67000000.0
2003-03-01,Paper manufacturing,,,,0,3183000000.0
2003-03-01,Printing and related support activities,,,,0,1076000000.0
